ticker,action,quantity,target,current,weight,price,reason,date
CSCO,SELL,99,-99,0,-0.1206767730695456,121.34,rebalance,2026-06-01 16:23:36
CVS,SELL,91,-91,0,-0.08281344557381597,90.97,rebalance,2026-06-01 16:23:36
ELV,SELL,19,-19,0,-0.07959958751058276,401.18,rebalance,2026-06-01 16:23:36
F,SELL,641,-641,0,-0.1072496407205234,16.71,rebalance,2026-06-01 16:23:36
ISRG,BUY,19,19,0,0.07941196844967843,413.52,rebalance,2026-06-01 16:23:36
KO,SELL,117,-117,0,-0.09249974420854616,78.78,rebalance,2026-06-01 16:23:36
MDT,BUY,112,112,0,0.08333288524618136,74.19,rebalance,2026-06-01 16:23:36
MO,SELL,124,-124,0,-0.08505986220417222,68.53,rebalance,2026-06-01 16:23:36
SCHW,BUY,97,97,0,0.08659535868557787,88.94,rebalance,2026-06-01 16:23:36
UNP,SELL,34,-34,0,-0.09032991877410244,261.65,rebalance,2026-06-01 16:23:36
VZ,SELL,194,-194,0,-0.09243081555727384,47.64,rebalance,2026-06-01 16:23:36
